date,RF,Mkt-RF,SMB,HML,RMW,CMA,UMD,HML-DEVIL
199010,0.68,-1.92,-5.12,0.1,2.97,-0.3,6.71,-3.41%
199011,0.57,6.35,0.07,-3.1,0.65,-4.74,-5.48,-0.22%
199012,0.6,2.46,0.67,-1.7,2.73,-1.89,0.29,-1.56%
199101,0.52,4.69,3.91,-1.6,1.28,-3.99,-6.45,1.13%
199102,0.48,7.19,3.94,-0.58,-0.2,-0.33,-4.61,2.99%
199103,0.44,2.65,3.83,-1.39,-0.53,-1.06,2.87,-1.00%
199104,0.53,-0.28,0.31,1.5,0.62,0.74,-2.36,0.85%
199105,0.47,3.65,0.14,-0.52,2,-2.43,-0.11,-0.64%
199106,0.42,-4.94,0.24,1.15,1.79,0.65,0.47,1.42%
199107,0.49,4.24,-0.96,-1.32,1.6,-1.36,4.32,-2.36%
199108,0.46,2.32,1.4,-0.78,0.84,-0.34,1.57,-1.73%
199109,0.46,-1.59,1.56,-1.08,-1.82,0.08,1.79,-0.41%
199110,0.42,1.29,0.91,-0.47,-1.7,-0.23,3.06,-0.67%
199111,0.39,-4.19,-0.83,-1.89,1.11,0.01,1.14,-1.23%
199112,0.38,10.84,-2.4,-4.17,3.55,-3.12,8.19,-7.18%
199201,0.34,-0.59,9.18,4.71,-1.32,3.2,-2.49,4.48%
199202,0.28,1.09,1.33,6.47,0.08,2.19,-0.53,3.28%
199203,0.34,-2.66,-0.93,3.56,-0.01,1.95,-0.29,2.98%
199204,0.32,1.07,-5.7,4.34,1.69,2.23,-2.58,5.39%
199205,0.28,0.3,0.21,1.19,-0.95,0.48,0.21,1.67%
199206,0.32,-2.34,-2.73,3.24,-0.05,1.01,-0.58,3.01%
199207,0.31,3.77,-0.62,-0.56,1.3,-0.91,1.56,-0.66%
199208,0.26,-2.38,-0.42,-1.1,3.72,-1.65,-0.51,-0.91%
199209,0.26,1.19,0.48,-0.26,1.64,-0.59,1.49,-1.21%
199210,0.23,1.02,2.07,-1.98,1.24,-0.79,2.48,-3.49%
199211,0.23,4.13,3.94,-1.35,-0.68,-1.59,-0.15,-2.47%
199212,0.28,1.53,1.68,2.62,-0.48,0.84,4.31,0.73%
199301,0.23,0.93,1.93,5.94,-1.84,2.91,4.83,4.04%
