date,RF,Mkt-RF,SMB,HML,RMW,CMA,UMD,IA,ROE,EG,MGMT,PERF,PEAD,FIN
197908,0.77,5.53,1.92,-1.58,1.62,-1.48,-0.2,-0.3503,2.9616,0.0183,-2.7127409,2.53847237,0.44,0.62
197909,0.83,-0.82,-0.32,-0.9,1.01,0.32,5.28,0.1081,0.7035,2.9999,0.72147881,3.29009511,0.54,-0.74
197910,0.87,-8.1,-3.5,-1.84,1.01,0.07,2.01,0.072,1.0303,1.6857,0.33967103,2.82819483,-0.37,-1.28
197911,0.99,5.21,2.53,-3.29,0.06,-2.12,8.14,-2.3923,2.3423,-0.3321,-4.0573071,2.67851888,1.46,-2.45
197912,0.95,1.79,4.32,-2.1,-0.7,-0.92,4.78,-1.0325,1.1576,-0.1427,-1.1585057,3.28725765,0.92,1.09
198001,0.8,5.51,1.83,1.75,-1.7,1.64,7.55,1.6011,1.6908,0.5075,0.99803448,4.14923754,1.31,0.98
198002,0.89,-1.22,-1.57,0.61,0.04,2.68,7.88,1.7384,2.2085,3.5215,1.59019254,6.31828771,5.35,1.07
198003,1.21,-12.9,-6.93,-1.01,1.46,-1.19,-9.55,0.4902,-1.0561,-0.8975,0.6559464,-6.4354891,-2.87,-0.09
198004,1.26,3.97,1.05,1.06,-2.1,0.29,-0.43,1.292,0.1315,1.527,-1.4342116,-4.420135,0.89,-4.20
198005,0.81,5.26,2.11,0.38,0.34,-0.31,-1.12,-1.4097,-0.9435,-0.8711,-1.1940841,-0.9460453,0.54,3.66
198006,0.61,3.06,1.41,-0.76,-0.15,-1.26,1.62,-0.8706,2.8361,0.7824,-0.8448785,0.37738227,0.38,0.60
198007,0.53,6.49,3.82,-6.41,4.06,-2.43,0.39,-2.0836,-0.376,-3.2905,-3.1554024,4.53549361,-1.07,0.18
198008,0.64,1.8,4.25,-2.6,2.06,-0.86,3.21,0.574,2.5483,1.6329,-2.4048989,3.81267999,1.22,0.83
198009,0.75,2.19,0.67,-4.59,1.91,-2.76,5.39,-0.4471,5.2169,2.3899,-4.250359,4.99620504,0.45,-0.77
198010,0.95,1.06,2.33,-2.76,1.65,-1.15,7.3,0.5273,4.1939,2.6902,-2.0423317,4.09559391,1.98,-2.20
198011,0.96,9.59,-3.31,-8.33,4.5,-5.66,15.22,-1.9974,9.0598,0.5686,-7.204375,9.70704354,-3.10,-5.16
198012,1.31,-4.52,-0.29,2.79,-1.29,1.24,-6.68,0.935,-1.2569,0.0925,3.02006495,-6.7623791,0.46,1.44
198101,1.04,-5.04,3.29,6.72,-3.51,4.33,-7.95,2.4815,-4.9423,0.7415,7.0427066,-4.4600849,3.56,4.07
198102,1.07,0.57,-0.5,1.02,0.21,2.22,-1.35,1.8542,0.789,1.6319,3.60408919,-0.4504024,1.99,3.23
